,0.4994889095571205,0.4999446295862313,0.5,0.5000549511417979,0.5007071421355692,0.5013883025973193,0.5024492267953106,0.5026688221672313,0.5038016383443465,0.5045213189111868,0.5067896187724298,0.5069498382779494,0.508363554033818,0.5091473864301516,0.5104221100338021,0.5118985484810764,0.5120979095885876,0.512108564303958,0.5121360010756801,0.5126496886303625,0.5132904248089423,0.5137172622520315,0.5138490968537842,0.5142562932888565,0.5149115187306303,0.5160868069895648,0.5161319178778123,0.519943121069008,0.5210688793402364,0.5233401459984689,0.5244826541592467,0.5282876255493935,0.5283738665882464,0.5288983835333578
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lambda=1e-05, alpha=1e-05",,
0,,,"lambda=0.0001, alpha=1e-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,"lambda=0.001, alpha=1e-05",,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,"lambda=0.01, alpha=1e-05",,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,"lambda=0.1, alpha=1e-05",,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,"lambda=1.0, alpha=1e-05",,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,"lambda=10.0, alpha=1e-05",,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,"lambda=1e-05, alpha=0.0001",,,,,,,,,,,,,,,,,,,,,,
0,,,"lambda=0.0001, alpha=0.0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"lambda=0.001, alpha=0.0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lambda=0.01, alpha=0.0001",
0,,,,,,,,,,,,,,,"lambda=0.1, alpha=0.0001",,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,"lambda=1.0, alpha=0.0001",,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,"lambda=10.0, alpha=0.0001",,,,,,,,
