"Latitude" "Longitude" "Altitude" "Area" "Depth" "Temperature" "Secchi" "O2" "CO2" "CH4" "N2O" "pH" "TIC" "TOC" "TN" "TP" "NO3" "SiO2" "PO4" "PON" "POC" "POP" "Chla" "APA" "KdPAR" "PPA" "a.phyto.m" "a.dom.m" "a.tripton.m" "tot.phyto" "f.hetero" "esd" "car.chl" "G" "ZDW" "Zoopl.species" "Copepods" "Cladocera" "Fish.species" "C.P..at." "C.P.calc"
60.37648 11.04077 176 32.81 20 17.03 6.5 0.904419368 1.393558163 11.79734277 1.142155805 6.87 0.8223 3.7105 0.4097 1.6 208.85 3312 -1 28.14 190 2.9 2.09 27.03 0.62 296.94 0.04 0.58 0.05 0.241102665 0.030354787 11.28274735 0.223040277 34 50.96 14 7 7 8 168.3615302 169.2528736
60.19323 10.71212 234 1.98 13 15.85 4.5 0.846834734 3.016741013 72.67456656 1.264255249 7.365 4.058 4.06 0.3745 4.35 147.45 3783 1 39.32 276 4.1 2.33 42.53 0.89 233.68 0.05 0.77 0.1 0.243601085 0.023740063 8.037487948 0.265498076 31 28.95 9 5 4 6 175.0778591 173.902439
59.7897 10.77485 40 2.64 22 19.65 3.3 0.813101165 1.224541313 52.95390421 1.458681316 7.685 8.085 6.898 1.28 9.8 834.9 3563 3 83.45 381 6.6 4.68 32.31 0.95 581.31 0.09 1 0.09 0.632637235 0.014212568 9.649558342 0.191384301 29 32.17 11 5 6 9 149.9235079 149.1287879
59.7897 10.77485 40 2.64 22 19.65 3.3 0.813101165 1.224541313 52.95390421 1.458681316 7.685 8.085 6.898 1.28 9.8 834.9 3563 3 83.45 381 6.6 4.68 32.31 0.95 581.31 0.09 1 0.09 0.632637235 0.014212568 9.649558342 0.191384301 29 32.17 11 5 6 9 149.9235079 149.1287879
59.71388 11.41303 133 12.66 9.5 18.61 1.1 0.840602548 3.248970522 85.63978034 1.316399069 7.225 2.668 6.944 0.3335 19.2 7.5 1125 8 165.29 1093 12 10.16 48.64 1.6 775.95 0.18 1.13 0.3 1.308378155 0.007990091 8.834302471 0.066408551 48 111.29 13 6 7 14 234.3842609 235.2986111
60.13485 9.7586 133 43.91 14 15.44 2.8 0.858252176 3.332547016 29.10005908 1.293402596 6.695 0.8136 4.395 0.2501 3.55 72.6 2499 1 23.75 148 2.9 1.91 3.72 0.82 181.22 0.04 0.93 0.07 0.277172021 0.037083306 10.96593561 0.246597463 34 17.41 13 4 9 6 132.4631959 131.8390805
59.58175 10.48715 118 1.16 10 18.55 2.1 0.852771061 2.158688944 260.5969312 1.527352006 7.535 3.092 6.652 0.9699 9.35 593.85 2063 3 113.27 607 8.1 11.89 93.36 1.32 322.43 0.06 0.96 0.3 1.463104402 0.001396688 13.46317034 0.133554568 32 74.84 9 4 5 5 192.817214 193.590535
60.68167 11.99235 176 3.98 3.5 19.63 1.15 0.836083297 3.353063993 97.56130628 1.220076791 7.07 1.732 9.613 0.3851 15.1 13.45 2924 8 213.84 1218 11.8 14.62 77.56 2.27 382.08 0.16 1.63 0.51 0.633088234 0.079836905 16.98148799 0.170955882 46 58.96 11 4 7 6 265.7412976 266.6525424
60.4969 12.3412 260 1.09 26 16.55 1.95 0.735063199 5.560882488 41.95606814 1.182113388 6.635 0.7731 11.175 0.2817 4.55 7.65 5559 -1 59.87 477 4.6 2.52 20.46 1.08 286.11 0.13 2.78 0.33 0.172752998 0.051192397 9.173250232 0.160948537 29 13.24 10 4 6 6 265.9353409 267.8804348
60.24425 10.59108 496 1.69 33 16.91 3.9 0.911605023 1.272284215 98.8148523 1.12998409 7.59 4.651 4.114 0.2119 2.45 24.2 2679 -1 76.74 349 4.7 2.76 56.89 0.77 407.74 0.07 0.74 0.1 0.231828125 0.014190944 8.806838544 0.168759571 31 9.35 11 4 7 6 193.758523 191.8262411
61.17583 11.88767 438 43.64 70 14.13 2 0.86321707 2.445586264 4.839550761 1.23781642 6.555 0.4351 7.6885 0.2842 3.05 68.05 3721 1 24.58 151 3.3 1.94 0.01 1.48 48.24 0.03 2.12 0.11 0.171481675 0.097124372 10.39617408 0.26642984 33 12.93 10 3 7 9 118.156488 118.2070707
60.78693 11.44073 215 3.77 9 17.8 1.8 0.746327456 4.460171274 96.120524 1.232816427 6.71 1.045 11.81 0.3288 8.25 8.2 3447 2 100.37 683 8.7 6.52 47.7 1.64 122.59 0.06 2.41 0.27 0.632234115 0.030090017 17.92168698 0.212560386 49 15.82 10 5 5 8 203.6324066 202.8065134
59.092 17.29833 9 9.99 35 21.25 2.5 0.898099456 0.649653886 23.16466455 1.10589256 7.815 5.076 8.8315 0.4285 11.45 12.2 419 3 104.14 655 7.1 4.86 43.27 0.87 582.2 0.09 0.69 0.1 0.406408575 0.026247158 14.35642482 0.172461206 34 39.95 17 5 12 14 239.5570045 238.3215962
61.0764 10.80002 522 6.93 17 15.6 2 0.840184683 3.3293198 5.844536054 1.209295612 6.705 0.793 7.514 0.2543 6.7 4.3 2622 2 56.14 348 5.6 2.94 6.18 1.27 168.45 0.06 1.84 0.18 0.448543345 0.045171922 9.218975667 0.177588212 33 54.96 7 3 4 6 161.6475925 160.5357143
60.69507 12.38702 215 3.34 12 15.34 1.3 0.641835819 6.265777807 32.42884702 1.232682366 6.285 0.1422 11.945 0.3595 9.25 26.55 5692 2 52.56 569 5.4 2.01 9.4 1.68 283.82 0.15 2.87 0.36 0.15716831 0.071837637 7.48469437 0.184814597 25 39.64 11 5 6 9 272.9538202 272.2067901
60.27088 5.40217 53 3.37 43 17.2 3.2 0.947245312 1.417613419 22.99220499 1.100699353 6.895 0.91 2.854 0.3494 3.8 168.3 1003 3 61.59 344 4.3 6.54 9.74 0.72 711.02 0.11 0.63 0.06 0.61147742 0.047196093 11.70170596 0.200500357 21 56.06 9 4 5 5 205.0097677 206.6666667
60.81172 6.47093 229 1.56 76 12.16 6 0.922059983 1.747864491 56.39023662 1.212226733 6.36 0.2662 0.954 0.08657 1 7.15 551 -1 39.57 198 3.1 2.36 7.98 0.42 348.41 0.04 0.21 0.04 0.226564514 0.027599688 7.912717067 0.23503415 21 37.42 8 2 6 1 167.2803801 165
58.97833 12.11388 102 1.76 25 18.02 2.8 0.880585865 1.680592731 31.02431228 1.082127621 7.205 1.921 7.619 0.3663 2.35 73.1 2951 -1 44.24 292 4 4.5 38.71 0.95 409.93 0.09 1.56 0.04 0.314324366 0.018110464 9.901357363 0.183085502 44 11.17 14 6 8 14 188.6230853 188.5833333
