"Area"	"Depth"	"Temperature"	"Secchi"	"O2"	"CH4"	"pH"	"TIC"	"SiO2"	"KdPAR"
32.81	20	17.03	6.5	0.904419368	11.79734277	6.87	0.8223	3312	0.62
1.98	13	15.85	4.5	0.846834734	72.67456656	7.365	4.058	3783	0.89
2.64	22	19.65	3.3	0.813101165	52.95390421	7.685	8.085	3563	0.95
2.64	22	19.65	3.3	0.813101165	52.95390421	7.685	8.085	3563	0.95
12.66	9.5	18.61	1.1	0.840602548	85.63978034	7.225	2.668	1125	1.6
43.91	14	15.44	2.8	0.858252176	29.10005908	6.695	0.8136	2499	0.82
1.16	10	18.55	2.1	0.852771061	260.5969312	7.535	3.092	2063	1.32
3.98	3.5	19.63	1.15	0.836083297	97.56130628	7.07	1.732	2924	2.27
1.09	26	16.55	1.95	0.735063199	41.95606814	6.635	0.7731	5559	1.08
1.69	33	16.91	3.9	0.911605023	98.8148523	7.59	4.651	2679	0.77
43.64	70	14.13	2	0.86321707	4.839550761	6.555	0.4351	3721	1.48
3.77	9	17.8	1.8	0.746327456	96.120524	6.71	1.045	3447	1.64
9.99	35	21.25	2.5	0.898099456	23.16466455	7.815	5.076	419	0.87
6.93	17	15.6	2	0.840184683	5.844536054	6.705	0.793	2622	1.27
3.34	12	15.34	1.3	0.641835819	32.42884702	6.285	0.1422	5692	1.68
3.37	43	17.2	3.2	0.947245312	22.99220499	6.895	0.91	1003	0.72
1.56	76	12.16	6	0.922059983	56.39023662	6.36	0.2662	551	0.42
1.76	25	18.02	2.8	0.880585865	31.02431228	7.205	1.921	2951	0.95
1.4	23	16.15	5	0.894995545	24.53246094	6.74	0.7519	2207	1.04
32.03	10	21.1	4.05	0.894112435	17.0693462	7.195	1.327	1029	0.59
2.73	9	19.56	2.4	0.802300707	37.50788739	7.02	1.165	4037	0.96
2.74	9	17.03	2	0.819882213	14.08840271	7.005	1.143	3163	1.15
27.05	17	17.92	2.15	0.879263421	35.00738721	6.88	0.7714	3047	1.13
5.18	14	17.38	1	0.74015838	28.14437448	5.41	0.07061	4151	2.47
2.05	25	14.44	7	0.923943553	24.43645584	6.66	0.5545	1440	0.43
